ku_id,ku_name,ku_description,exam_frequency,r1_chunk_id,r1_score,r1_page,r1_excerpt,r2_chunk_id,r2_score,r2_page,r2_excerpt,r3_chunk_id,r3_score,r3_page,r3_excerpt,correct_rank
renjiao-math-g10-a-ku004,函数的概念与表示,理解函数的定义（映射视角），掌握定义域、值域、对应法则,high,2e0d9544-a589-4011-9c62-6f178b6af20b_00269,0.73,106,第三章 函数的概念与性质 ፇ 67 89:;<= Ѧ ᄊ ၹ Ѧ Ѧ Ѧ ᄊ  ˁ᛫ᇨ Ѧ ᄊ۳  ᠏ Ѧ ᄊဘ ᑀ >7 ?@-AB 本章我们用集合的语言与对应关系进一步描述了函数概念 ． 与初中的函数定 义相比较 ， 突出了函数概念的本质 ： 两个数集之间的一种确定的对应关系 ； 明确 了函数的,2e0d9544-a589-4011-9c62-6f178b6af20b_00188,0.6888,73,第三章 函数的概念与性质 由函数的定义可知 ， 一个函数的构成要素为 ： 定义域 、 对应关系和值域 ． 因为值域是 由定义域和对应关系决定的 ， 所以 ， 如果两个函数的定义域相同 ， 并且对应关系完全一 致 ， 即相同的自变量对应的函数值也相同 ， 那么这两个函数是同一个函数 ． 两个函数如果仅,2e0d9544-a589-4011-9c62-6f178b6af20b_00190,0.6836,73,， 我们在初中学习的基础上 ， 运用集合语言和对应关系刻画了函数 ， 并引进 了符号 狔 ＝ 犳 （ 狓 ）， 明确了函数的构成要素 ． 比较函数的这两种定义 ， 你对函数有什 么新的认识 ？ ６６,
renjiao-math-g10-a-ku005,指数函数与对数函数,理解指数函数 y=aˣ 与对数函数 y=logₐx 的图像、性质及互为反函数关系,high,2e0d9544-a589-4011-9c62-6f178b6af20b_00360,0.7775,142,第四章 指数函数与对数函数 ቃ 对于指数函数 狔 ＝２ 狓 ， 你能利用指数与对数间的关系 ， 得到与之对应的对数函数 吗 ？ 它们的定义域 、 值域之间有什么关系 ？ 它们也互为反函数吗 ？ 一般地 ， 指数函数 狔 ＝ 犪 狓 （ 犪 ＞ ０ ， 且 犪 ≠ １ ） 与对数函数 狔 ＝ｌｏｇ 犪,2e0d9544-a589-4011-9c62-6f178b6af20b_00351,0.7655,139,"第四章 指数函数与对数函数 ４４２ ! S#""#$PQR,O 与研究指数函数一样 ， 我们首先画出其图象 ， 然后借助图象研究其性质 ． 不妨先画函数 狔 ＝ｌｏｇ ２ 狓 的图象 ． 请同学们完成 狓 ， 狔 的对应值表 ４．４  １ ， 并用描点法画出函数 狔 ＝ｌｏｇ ２ 狓 的图象 （",2e0d9544-a589-4011-9c62-6f178b6af20b_00309,0.7545,123,"第四章 指数函数与对数函数 ４２２ ! G#""#$PQR,O 下面我们类比研究幂函数性质的过程和方法 ， 进一步研究指数函数 ． 首先画出指数函 数的图象 ， 然后借助图象研究指数函数的性质 ． 先从简单的函数 狔 ＝２ 狓 开始 ． 请同学们完成 狓 ， 狔 的对应值表 ４．２  ２ ， 并",
renjiao-math-g10-a-ku003,充分条件与必要条件,理解充分条件、必要条件、充要条件的概念并能判断,high,2e0d9544-a589-4011-9c62-6f178b6af20b_00106,0.7792,41,“ 充分不必要条件 ”“ 必要不充分条件 ”“ 充要条件 ”“ 既不充分也不必要条件 ” 填空 ： （ １ ） 三角形两边上的高相等是这个三角形为等腰三角形的 ； （ ２ ） 狓 ∈ 犃 是 狓 ∈ 犃 ∪ 犅 的 ； （ ３ ） 狓 ∈ 犃 是 狓 ∈ 犃 ∩ 犅 的 ； （ ４ ） 狓 ， 狔 ,2e0d9544-a589-4011-9c62-6f178b6af20b_00059,0.77,25,第一章 集合与常用逻辑用语 要条件 ， 而命题 （ ２ ）（ ３ ） 中的 狆 不是 狇 的充分条件 ， 狇 不是 狆 的必要条件 ． 例 １ 下列 “ 若 狆 ， 则 狇 ” 形式的命题中 ， 哪些命题中的 狆 是 狇 的充分条件？ （ １ ） 若四边形的两组对角分别相等 ， 则这个四边形是平行四,2e0d9544-a589-4011-9c62-6f178b6af20b_00056,0.7679,24,第一章 集合与常用逻辑用语 １４ 充分条件与必要条件 在初中 ， 我们已经对命题有了初步的认识 ． 一般地 ， 我 们把用语言 、 符号或式子表达的 ， 可以判断真假的陈述句叫 做命题 ． 判断为真的语句是真命题 ， 判断为假的语句是假命 题 ． 中学数学中的许多命题可以写成 “ 若 狆 ， 则 ,
renjiao-math-g10-a-ku002,集合的基本运算,掌握交集、并集、补集的定义与运算规律,high,2e0d9544-a589-4011-9c62-6f178b6af20b_00043,0.8116,19,第一章 集合与常用逻辑用语 例 ４ 设平面内直线 犾 １ 上点的集合为 犔 １ ， 直线 犾 ２ 上点的集合为 犔 ２ ， 试用集合的运算 表示 犾 １ ， 犾 ２ 的位置关系 ． 解 ： 平面内直线 犾 １ ， 犾 ２ 可能有三种位置关系 ， 即相交于一点 、 平行或重合 ． （ １ ） 直线 犾,2e0d9544-a589-4011-9c62-6f178b6af20b_00037,0.7625,17,第一章 集合与常用逻辑用语 １３ 集合的基本运算 我们知道 ， 实数有加 、 减 、 乘 、 除等运算 ． 集合是否也 有类似的运算呢？ 并集 ᜺ 观察下面的集合 ， 类比实数的加法运算 ， 你能说出集合 犆 与集合 犃 ， 犅 之间的 关系吗 ？ （ １ ） 犃 ＝ ｛ １ ， ３ ， ５ ｝，,2e0d9544-a589-4011-9c62-6f178b6af20b_00102,0.7422,40,第一章 集合与常用逻辑用语 ፇ 56 789:;< Ռᬷ Ռᫎ ᄊ ۳ Тጇ ЍѬ ͈ ᜶ ͈ Ѝ᜶ ͈ Ѽ ေ ေ ߦ ˧ᬷ Ռᄊ ᤂካᬷ Ռ ᄊ ե ˧ ӊ ե ᄱ ኎̔ᬷ ᛪᬷ Л ሦ ᧚ ឈ ߛ ښ ᧚ ឈ Лሦ ᧚ឈ֑ᮥ֗ ߛ ښ᧚ ឈ֑ᮥ ᄊ ա ၹ᤿ᣤၹឦ =6 >?&@A 本章我们学,
RENJIAO-G6-MATH-X-ku-可能性大小,可能性大小,事件发生的可能性大小用概率描述，如随机抽取。,mid,a1c832dd-a81d-4971-ac87-06510b416aa8_00106,0.4588,103,5 个 红球 连线。 不可能摸到 黄球。 一定能摸到 红球。 在 5 个箱子 中，摸到红 球的可能性 最小。 摸到黄球的 可能性比摸 到红球的可 能性大。 在 5 个箱子 中，摸到黄 球的可能性 最大。 甲、乙两个足球队之间近期 5 场比 赛的进球数如右表。如果两个队现 在进行一场比赛，请预测一下哪,a1c832dd-a81d-4971-ac87-06510b416aa8_00101,0.4541,100,统计在生活中应用广泛。我们在做一些事情之前，先要收集、整理和分析 数据，再作出决定。例如，学校为了了解学生体质健康状况，要收集学生的身高、 体重等数据。统计就是帮助人们收集、整理和分析数据的知识和方法。 这是同学们设计的学生个人情况调查表。 我们学过哪些统计与可能性的知识？ 各种统计图都有什么特点？,a1c832dd-a81d-4971-ac87-06510b416aa8_00102,0.3737,101,六（ 1 ）班同学的几项数据用统计表和统计图表示如下。 （1）根据以上统计图表，你得到了哪些信息？ （2）除了通过问卷调查收集数据，还可以通过什么手段收集数据？ 六（ 1 ）班同学的身高、体重情况如下表。 （1）六（ 1 ）班大部分同学的身高和体重分别是多少？ （2）六（ 1 ）班同学的平均身高和平,
RENJIAO-G4-MATH-X-ku-平均数在比赛中的应用,平均数在比赛中的应用,比赛成绩通常取多次成绩的平均数，但需考虑是否合理（如跳远取最好成绩）。,mid,45c291b4-09a9-4b14-862b-d19401f1d651_00092,0.4613,93,88 下面是第 4 小组男生队和女生队踢毽比赛的成绩。 男生队 女生队 姓 名 踢毽个数 王小飞 19 刘 东 15 李 雷 16 谢明明 20 孙 奇 15 姓 名 踢毽个数 杨 羽 18 曾诗涵 20 李 玲 19 张 倩 19 哪个队的成绩更好？ 2 人数不同怎么比呢？ 男生队： 女生队： （,45c291b4-09a9-4b14-862b-d19401f1d651_00093,0.4421,94,89 本周气温记录 周一： 10 〜 21 ° C 周二： 10 〜 21 ° C 周三： 12 〜 22 ° C 周四： 12 〜 24 ° C 周五： 11 〜 22 ° C 周六： 11 〜 21 ° C 周日： 11 〜 23 ° C 温度 周一 周二 周三 周四 周五 周六 周日 平均数 ,45c291b4-09a9-4b14-862b-d19401f1d651_00114,0.4403,115,110 小华同学参加跳远比赛的成绩如下表。 第一跳 第二跳 第三跳 第四跳 第五跳 170 cm 168 cm 171 cm 167 cm 169 cm 想一想：她的比赛成绩应该是多少？用 5 次的平均成绩合适吗？ 把一个等边三角形分成 4 个相等的小等边 三角形。在右边的图里画一画。 （1） 李逸,
RENJIAO-G7-MATH-X-ku-简单随机抽样的特点与代表性,简单随机抽样的特点与代表性,简单随机抽样保证每个个体被抽到的机会相等，但样本不一定具有代表性，需注意抽样方式。,mid,319a239f-6099-418a-a4e4-99b3f84aa589_00254,0.464,160,这就是我们要讨论的抽样调查 ． 抽样调查 （ ｓａｍｐｌｉｎｇｓｕｒｖｅｙ ） 是这样一种方法 ， 它只抽取一部分对象进行 调查 ， 然后根据调查数据推断全体对象的情况 ． 例如 ， 在问题 ２ 中 ， 我们可以 只抽取一部分学生进行调查 ， 然后通过分析被调查学生的数据来推断全校学生 对五类课外活,319a239f-6099-418a-a4e4-99b3f84aa589_00312,0.463,191,第十二章 数据的收集 、 整理与描述 的数据 ， 利用它容易看出数据随时间的变化趋势 ． 直方图一般用来描述连 续分组数据 ， 通过对数据分组 ， 显示数据取值的分布 ， 利用它容易从整 体上把握数据分布的特点 ． 趋势图可以用来描述两个量之间的关系 ， 利用 它可以根据一个量的变化预测另一个量的变,319a239f-6099-418a-a4e4-99b3f84aa589_00257,0.4623,162,第十二章 数据的收集 、 整理与描述 ߦ ሙ ʹᐲ ᓨ ҷ 27 13 18 32 10 图 １２．１３ 从表 １２．１２ 中可以看出 ， 样本中最喜爱体育类 课外活动的学生最多 ， 所占百分比为 ３２％． 据此可 以估计 ， 这所学校的学生中 ， 最喜爱体育类课外活 动的学生最多 ， 约占全校,
RENJIAO-G6-MATH-X-ku-假分数与真分数,假分数与真分数,分子大于或等于分母的分数是假分数，分子小于分母的是真分数。,mid,a1c832dd-a81d-4971-ac87-06510b416aa8_00089,0.4852,88,先在下表中写出比和比例的一些知识，再举例说明。 比与分数、除法有什么联系？先填写下表，再说一说它们的区别。 比的基本性质、分数的基本性质、商不变的规律之间有什么联系？ 怎样判断两种相关联的量是成正比例关系还是成反比例关系？请举生活中 的实例加以说明。 比和比例 小组同学可以一起 交流上面的问题。 名,a1c832dd-a81d-4971-ac87-06510b416aa8_00078,0.4488,79,74 与       哪个更大，并设法验证。 20 19 18 17 比较    、   、   、    的大小，你能发现什么？根据你发现的规律猜一下 填空，使每横行的各数相等。 （1）这些两位数中，哪些是奇数？哪些是偶数？ （2）这些两位数中，哪些是质数？哪些是合数？ （3）这些两位数中，哪些是,a1c832dd-a81d-4971-ac87-06510b416aa8_00083,0.426,83,已知 x + = y + = z + ，那么 x 、 y 、 z 的大小关系是（   ）<（   ）<（   ）。 10 9 8 7 12 11 4 3 4 9 + = 5 2 3 - = × 6 5 5 3 = ÷ 2 1 4 1 = 练习十五 1 2 3 4 5 6 7 9 4 19 10 12,
RENJIAO-G6-MATH-X-ku-倒数,倒数,乘积为1的两个数互为倒数，假分数的倒数可能是真分数。,mid,a1c832dd-a81d-4971-ac87-06510b416aa8_00050,0.4943,51,46 每天运的质量/ t 300 150 100 75 60 50 运货的天数/ 天 1 2 3 4 5 6 （1） （2） （3） 写出几组这两种量中相对应的两个数的乘积，并比较乘积的大小， 说一说这个乘积表示什么。 运货的天数与每天运的质量成反比例关系吗？为什么？ 表中有哪两种量？它们是不是相关,a1c832dd-a81d-4971-ac87-06510b416aa8_00049,0.4874,50,45 把相同体积的水倒入底面积不同的圆柱形容器，容器的底面积与水的高度 的变化情况如下表。 根据上表，回答下面的问题。 （1）表中有哪两种量？ （2）水的高度是怎样随着容器底面积的大小变化而变化的？ （3）相对应的容器的底面积与水的高度的乘积分别是多少？ 从上表可以看出，水的高度和容器的底面积是两种,a1c832dd-a81d-4971-ac87-06510b416aa8_00043,0.4859,44,39 组成比例的四个数，叫作比例的 项 ，两端的两项叫作比例的 外项 ，中间的 两项叫作比例的 内项 。 例如： 如果把上面的比例写成分数形式 2 . 4 1 . 6 = 40 60 ， 2 . 4 和 40 仍然是外项， 1 . 6 和 60 仍然是内项。 计算下面比例中两个外项的积和两个内项的积,
renjiao-math-g10-a-ku-venn图,Venn图,用平面上封闭曲线的内部代表集合的图示方法。,mid,2e0d9544-a589-4011-9c62-6f178b6af20b_00047,0.4957,20,瓓 犝 犃 ） ∩ （ 瓓 犝 犅 ） ． ２． 设 犛 ＝ ｛ 狓 ｜ 狓 是平行四边形或梯形 ｝， 犃 ＝ ｛ 狓 ｜ 狓 是平行四边形 ｝， 犅 ＝ ｛ 狓 ｜ 狓 是菱形 ｝， 犆 ＝ ｛ 狓 ｜ 狓 是矩 形 ｝， 求 犅 ∩ 犆 ， 瓓 犃 犅 ， 瓓 犛 犃． ３． 图中 犝 是全集 ,2e0d9544-a589-4011-9c62-6f178b6af20b_00046,0.4954,20,第一章 集合与常用逻辑用语 A U A 图 １．３  ４ 对于一个集合 犃 ， 由全集 犝 中不属于集合 犃 的所有元素组成 的集合称为集合 犃 相对于全集 犝 的 补集 （ ｃｏｍｐｌｅｍｅｎｔａｒｙｓｅｔ ）， 简称为集合 犃 的补集 ， 记作 瓓 犝 犃 ， 即 瓓 犝 犃 ＝ ｛ 狓 ｜ ,2e0d9544-a589-4011-9c62-6f178b6af20b_00053,0.4781,23,第一章 集合与常用逻辑用语 犃 ∩ 犅 ＝ ｛ 狓 ｜ 狓 是两次运动会都参赛的学生 ｝， 犃 ∪ 犅 ＝ ｛ 狓 ｜ 狓 是所有参赛的学生 ｝， ｃａｒｄ （ 犃 ∪ 犅 ） ＝ｃａｒｄ （ 犃 ） ＋ｃａｒｄ （ 犅 ） －ｃａｒｄ （ 犃 ∩ 犅 ） ＝８＋１２－３＝１７ ． 所以 ， 在两次,
RENJIAO-G1-MATH-X-ku-加减混合运算,加减混合运算,加减混合运算按从左到右的顺序计算。,mid,556d2ae0-de02-497c-95bc-14332325adf5_00057,0.4967,58,整理和复习 整理和复习 你还学到了哪些知识？画一画，写一写。 展示你的“知识图”，大家一起交流吧！ 50 63 − 7 = 56 6 13 15 + 20 = 35 28 + 5 = 33 满十进1 几个十和几个十相加 35 - 2 = 33 几个一和几个一相 减 不够 减 退1 36 - 8 = ,556d2ae0-de02-497c-95bc-14332325adf5_00049,0.4901,50,27 + 4 = 36 + 8 = = + 再算 = + 再算 1 + 78 = 6 + 78 = 64 + 2 = 64 + 7 = 4 + 85 = 5 + 85 = 37 + 2 = 37 + 9 = 5 + 31 = 6 + 77 = 23 + 4 = 37 + 8 = 64 + 32 = ,556d2ae0-de02-497c-95bc-14332325adf5_00070,0.4826,71,整理和复习 整理和复习 展示你的“知识图”，大家一起交流吧！ 26 + 47 = 73 你还学到了哪些知识？画一画，写一写。 1. 相同数位要对齐，从个位算起； 2. 个位相加满十，向十位进 1 ； 3. 个位不够减，从十位退 1 。 4 5 3 2 1 3 + 不进位 4 1 2 8 1 3 + ,
RENJIAO-G8-MATH-X-ku-方案构思,方案构思,小组成员讨论交流，集思广益，形成解决研究任务的方案。,mid,1fb8c045-5856-4ca2-92f1-2ce3c0f2d8f0_00246,0.4983,153,展示本组的研究成果 ， 分享实践过程中的活动经验 、 遇到的困难及其解决方法 ， 反思活动中的不足 ． 注意 ： 展示交流活动要邀请音乐老师参加点评 ． ６４１ 仅供个人学习使用，未经授权不得另做他用,1fb8c045-5856-4ca2-92f1-2ce3c0f2d8f0_00245,0.4943,153,向全班同学展示本组的研究成果 ， 分享实践过程中的活动经验 、 遇到的困难及其解决方法 ， 反思活动中的不足 ． 注意 ： 展示交流活动要邀请音乐老师参加点评 ． ６４１ 仅供个人学习使用，未经授权不得另做他用,1fb8c045-5856-4ca2-92f1-2ce3c0f2d8f0_00351,0.4811,203,综合与实践 学生体质健康调查与分析 确定 ． （ １ ） 男生 １０００ 米跑成绩的调查 ； （ ２ ） 女生的 ＢＭＩ 与其仰卧起坐成绩的关系 ； （ ３ ） 制订你所在班级学生坐位体前屈成绩的评价标准 ． ำү᣿ሮ １ 组建合作团队 本次综合与实践活动需要团队协作 ． 在班级中组成 ５ ～ ８,
RENJIAO-G6-MATH-X-ku-因数的概念,因数的概念,整数a除以整数b（b≠0）商是整数且无余数，则b是a的因数。,mid,a1c832dd-a81d-4971-ac87-06510b416aa8_00076,0.5049,77,72 数 整数 正整数 0 负整数 自然数 分数（有限小数、无限循环小数） 无限不循环小数 请你在图中表示下列各数。 - 3 - 1.25 3 . 5 5 4 3 什么是十进制计数法？数位和计数单位有什么区别？填写下表，你能提出 什么问题？ 你能根据 a ÷ b = c （ a 、 b 、 c 均为,a1c832dd-a81d-4971-ac87-06510b416aa8_00003,0.4469,4,时间过得真快，现在是小学最后一个学期了。你会和聪聪一起，探 索更多的数学奥秘，并一起整理六年所学的数学知识，分享数学学习中 的收获与快乐。 本学期，你将跨越“ 0 ”的边界，接触到一种新的数——负数。你 对数的认识也将进入一个新的天地。 本学期，你会运用上学期所学的百分数知识，解决生活中更多的百 分,a1c832dd-a81d-4971-ac87-06510b416aa8_00089,0.4419,88,先在下表中写出比和比例的一些知识，再举例说明。 比与分数、除法有什么联系？先填写下表，再说一说它们的区别。 比的基本性质、分数的基本性质、商不变的规律之间有什么联系？ 怎样判断两种相关联的量是成正比例关系还是成反比例关系？请举生活中 的实例加以说明。 比和比例 小组同学可以一起 交流上面的问题。 名,
